Coding	Coding for Kids	Get introduced to the world of coding! What is coding? What does it do? Why is it so important? Learn the basic language of code such as of sequential commands and loops. In Coding for Kids students will learn through a series of hands-on projects and activities as well as in Scratch Jr, a tablet based programming environment developed by MIT. Make basic coding logic fun and easy to learn! 	http://einsteinsworkshop.com/images/classes/scratchjr-kid.jpg	0	1	Both	All Year	CodeKids		<a href="/classes-top/class-catalog#Coding">Coding for Kids</a>	Class1	C.001		Yes
Coding	Scratch Programming	Learn basic concepts of programming using the incredibly popular programing environment Scratch, developed by MIT. Scratch is a "block based" coding software which teaches students how to program by snapping together digital blocks of code. Animate stories and create simple game mechanics. No previous programming experience required! 	http://einsteinsworkshop.com/images/classes/scratchcatcode.png	2	3	Both	All Year	scratch		<a href="/classes-top/class-catalog#Coding">Scratch Programming</a>	Class2	C.200		Yes
Coding	Advanced Scratch	If you've taken a Scratch class before, then it's time to learn new blocks and new ways to use them! Scratch offers a ton of content and there is always something more to learn. Come learn more advanced projects and concepts to make truly cool programs.	http://einsteinsworkshop.com/images/classes/scratch_sprites2.jpg	4	6	Both	All Year	AdvScratch		<a href="/classes-top/class-catalog#Coding">Advanced Scratch</a>	Class3	C.410		Yes
Coding	Code Kingdoms: My First Minecraft Mod	Learn to create your own Mods for Minecraft using this simple tool for teaching JAVA! Code Kingdoms is a coding interface which allows students to code on several levels from very simple "block coding" with pictures, to more complex JAVA. This class is a great introduction to more advanced coding and no experience is necessary. 	http://einsteinsworkshop.com/images/classes/codekingdom.png	4	6	Both	All Year	Codeking		<a href="/classes-top/class-catalog#Coding">Code Kingdoms: My First Minecraft Mod</a>	Class4	C.490		Yes
Coding	Learn to Code: Java Graphics	Learn the fundamentals of programming in a fun, visual, and interactive way. Make pictures, animations, and games that will wow your family and friends. We'll use a Java-based programming language called Processing. This is a development environment originally designed to help teach computer programming fundamentals, but has since evolved into an easy way for artists, designers, and researchers to easily produce visual software.	http://einsteinsworkshop.com/images/classes/JavaGraphics.png	6	8	Both	All Year	JavaGraphics		<a href="/classes-top/class-catalog#Coding">Learn to Code: Java Graphics</a>	Class6	C.640		Yes
Coding	Coding Club	Coding Club is an opportunity for students to begin learning programming independence and teamwork. With the helpful guidance of an instructor students will have input into the projects they want to build and the concepts they want to learn. See the <a href="/classes-top/clubs/coding-club">Coding Club</a> page for more info.		6	8	Class	All Year	codingclub		<a href="/classes-top/class-catalog#Coding">Coding Club</a>	Class56	C.689		Yes
Coding	Learn to Code: Java Minecraft Modding	Ever wanted to craft diamonds from dirt, smelt up some bedrock, or add your own custom blocks? Modifications, or "Mods", are one of the coolest things about the Minecraft community. In this class we'll get you started using Java Coding to write your own mods using the Forge API. No programming experience is required. 	http://einsteinsworkshop.com/images/classes/minecraft-modding.png	6	8	Both	All Year	Modding		<a href="/classes-top/class-catalog#Coding">Learn to Code: Java Minecraft Modding</a>	Class10	C.690		Yes
Game Learning	Minecraft Adventure Team	Do you want to learn how to play Minecraft? Join us on an epic adventure as we work together to explore, build and learn about this amazing world. What can you do in Minecraft? What is Creative Mode and Survival Mode? How do people build those amazing architectures? Why is this game so fun and why is it considered educational? Answer these questions and more with the Minecraft Adventure Team! 	http://einsteinsworkshop.com/images/classes/MCTeam.png	0	1	Class	All Year	MCteam		<a href="/classes-top/class-catalog#Game Learning">Minecraft Adventure Team</a>	Class11	G.001		Yes
Game Learning	Minecraft Club	Join a group of like minded builders, crafters and adventurers playing Minecraft. Play on two servers, one in creative mode for unlimited building of epic structure and one in survival mode for the ultimate adventure. Students will learn the meaning of good "digital citizenship" and working together through cooperative play.Play with our seasoned staff and focus on building and growing as a group in this one-of-a-kind experience.	http://einsteinsworkshop.com/images/classes/minecraft-arch-worldedit.png	1	6	Class	All Year	MCClub		<a href="/classes-top/class-catalog#Game Learning">Minecraft Club</a>	Class13	G.199		Yes
Game Learning	Minecraft Architecture	Minecraft is more than just a game. It is a creative tool which allows players to create amazing structures, scenes and works of art. With hundreds of blocks and items students will learn how to engage in "constructive play" as they design and build their structures. Students will work in the same world and learn the meaning of good "digital citizenship" and working together. There is no one theme for this class and students can choose to create from their imagination or use real world reference material for their inspiration.	http://einsteinsworkshop.com/images/classes/minecraft-arch-modern.png	3	4	Both	All Year	MCArch		<a href="/classes-top/class-catalog#Game Learning">Minecraft Architecture</a>	Class12	G.390		Yes
Game Learning	Minecraft Animation: Storytelling	Telling a good story is a powerful modern tool. It can help you be creative, to show off your talents and even to promote yourself. In Minecraft Animation: Storytelling students will work in groups to outline plots, describe scenes and write scripts. Then they will jump into Minecraft to create their backdrops and set their scenes. Students will film their stories in Minecraft using screen capture software, narrate with their scripts and edit their videos. 	http://einsteinsworkshop.com/images/classes/MCtheatre.png	4	6	Class	All Year	MCAnimation		<a href="/classes-top/class-catalog#Game Learning">Minecraft Animation: Storytelling</a>	Class16	G.440		Yes
Game Learning	RPG Club	Role Playing Games are great for developing imagination, creative problem solving and teamwork. Join our intrepid group of likeminded kids and embark on a grand adventure of exploration, puzzles and peril. Contact us to learn more about the current adventure world.	http://einsteinsworkshop.com/images/classes/rpgdice.jpg	4	8	Class	All Year	rpgclub		<a href="/classes-top/class-catalog#Game Learning">RPG Club</a>	Class19	G.469		Yes
